"replicate_number","p_value_QSTFST","p_value_LAVA","log_ratio_LAVA","S_value_Driftsel"
76,0.033,0.325,-1.51082621454308,0.392199198209302
45,0.183,0.6365,-0.318832361491474,0.416629771791657
49,0.775,0.8505,-0.13580654757838,0.392800348483875
67,0.01,0.46525,-1.05920978778417,0.351852425793115
204,0.232,0.97025,0.00968584278581758,0.542780138304402
68,0.154,0.636,0.243524488465622,0.578303965235767
66,0.653,0.31575,0.559197704087777,0.630955902879895
75,0.233,0.43875,0.41994993816942,0.559699151141869
2,0.188,0.992,-0.071777326218364,0.492927795278832
1,0.003,0.09925,-1.63957679944093,0.234272300169666
102,0.019,0.18825,-0.834645417660287,0.259419619384852
135,0.02,0.2655,-0.91447080642016,0.32974270582105
250,0.33,0.25025,0.606480992826625,0.64038729959171
3,0.727,0.06725,0.966706752754109,0.721474940726516
133,0.011,0.065,-1.56633908191265,0.194997910714625
448,0.002,0.02375,-2.7497143481309,0.206758920239036
93,0.016,0.2245,-1.16047664372904,0.266270543790992
74,0.197,0.0265,1.22164919322571,0.732431720408728
4,0.473,0.93975,-0.0631863016684096,0.425374029776721
46,0.914,0.914,0.0521325704261001,0.438900660663133
43,0.514,0.972,-0.0446006438299638,0.482981585451363
41,0.029,0.43675,-0.80643821946437,0.362740342792555
269,0.373,0.90625,0.0673525032726437,0.462911708756343
123,0.024,0.306,-0.745690843878534,0.308223487070296
56,0.014,0.16725,-0.997879809672911,0.289309836199946
40,0.024,0.57425,-0.491576535213936,0.373725783044962
116,0.014,0.19025,-1.51145597969335,0.339111537426989
104,0.726,0.61675,-0.278754047228355,0.435879320380862
92,0.101,0.96175,-0.0352255144177752,0.473362256478498
48,0,0.3895,0.401123979538165,0.639129151093266
103,0.983,0.43175,-0.495076562212554,0.307037195514202
168,0.104,0.05075,1.1315642897287,0.677871664054626
96,0.109,0.40625,-0.599396569036082,0.323307720465548
57,0.169,0.177,0.661555382065497,0.693271593414854
214,0.245,0.6495,-0.332690815636765,0.359317002123982
167,0.249,0.459,-0.555834214431213,0.404534581118817
95,0.047,0.51025,-0.588784305050875,0.442666430922712
132,0.296,0.587,0.321133710744044,0.50516281866435
106,0.166,0.56075,-0.411472490225083,0.398441384761126
268,0.018,0.26325,-1.21859672686464,0.334152907161729
94,0.862,0.7385,-0.193603769058966,0.343561937397791
83,0.518,0.719,0.207233727125581,0.476947844500608
86,0.25,0.9215,-0.0827502302918196,0.466607939402193
258,0.159,0.48075,0.414044377322817,0.578455781456832
267,0.717,0.3115,0.549565650235472,0.608678261818885
55,0.519,0.529,0.352977121863694,0.538691731792145
134,0.395,0.54525,0.430553057549799,0.575068774566284
44,0.09,0.0645,0.938832922743282,0.753235196544521
72,0.368,0.6105,0.28462156502767,0.524401677044511
210,0.503,0.24575,0.682648894214588,0.529586030685105
113,0.112,0.2865,-0.820111451777306,0.316926414730493
69,0.745,0.994,-0.00625696640201549,0.422352001283878
59,0.205,0.3455,-0.658063700264592,0.31581977674481
115,0.034,0.55825,-0.532492596170954,0.389215068549084
229,0.564,0.36275,-0.576082556702745,0.296737626638872
139,0.012,0.39025,0.451316173381723,0.576027786961267
105,0.904,0.118,0.959644456335829,0.613678364193432
164,0.643,0.3435,0.451888573565402,0.580558244506506
212,0.556,0.27725,0.558049506913166,0.626630373075504
47,0.616,0.31175,0.548348072254344,0.703074715161438
58,0.639,0.70975,-0.210398797241112,0.425590994158312
73,0.021,0.94725,0.0403832145458906,0.45945990117641
70,0,0.074,0.868024291739873,0.762177871948188
252,0.01,0.024,-2.5741046305294,0.282295937575321
412,0.92,0.29625,0.516714266041709,0.600002240453164
165,0,0.02825,1.13643676121837,0.819792043659254
82,0.821,0.34625,0.471550047582364,0.61242043516645
270,0.335,0.28425,0.591818625800005,0.61704063868247
108,0.015,0.0405,-1.83784500521685,0.2362614128425
112,0.037,0.329,0.484598103425158,0.65286703045127
42,0.044,0.33775,0.515576050277643,0.548559987975507
253,0.196,0.34,-0.747685892259753,0.35259368778767
138,0.752,0.3025,0.532474392548548,0.615121672547784
166,0.641,0.953,0.0249814407332171,0.511057814728988
259,0.208,0.45425,0.376325077574014,0.625983926674119
260,0.526,0.0835,0.83629864635733,0.681551293338385
256,0.957,0.55575,0.321690122594578,0.583361326526805
228,0.267,0.798,0.161089821896519,0.496650296086051
499,0.009,0.349,-1.45789118371428,0.368248775180624
90,0.017,0.15,-1.32789785102996,0.324098002456462
257,0.281,0.8785,-0.0839807207424705,0.446834162654565
122,0.364,0.73325,0.176664510764419,0.555009831076832
84,0.77,0.0615,1.02533247543207,0.755711677933212
71,0.343,0.68925,0.221337134388973,0.469025983585771
255,0.668,0.5715,0.299008389616537,0.5595577986634
213,0.03,0.2755,0.561517415682776,0.582775526849203
126,0.276,0.5235,0.305534052626264,0.590826087714133
500,0.876,0.87125,-0.0887861548564161,0.399083000445576
125,0.001,0.21775,0.614287698799537,0.636359033775543
211,0.047,0.214,0.656658355662556,0.650402628940781
137,0.279,0.484,0.36895092599543,0.502313402340972
130,0.549,0.9975,-0.000902159802933017,0.472451762764449
121,0.01,0.174,-1.55033257909416,0.276383052409419
162,0.041,0.71825,-0.620194625167587,0.41361582344864
87,0.14,0.582,0.349578872004461,0.498764399811797
88,0.017,0.198,0.593132834105663,0.744813714227811
136,0.894,0.35075,0.49020867003073,0.553851018828612
114,0.06,0.0075,1.38575201916232,0.796863246720339
254,0.342,0.5475,0.324762610279868,0.539050013889449
124,0.345,0.20425,0.686416337667542,0.657839348692137
54,0.2,0.96125,0.0209204202959929,0.526048792011305
266,0.051,0.04175,1.06808099036337,0.742662040359475
98,0.014,0.1495,-1.09039953078586,0.292499830688917
119,0.572,0.34175,-0.575865784505884,0.286077666642804
169,0.011,0.29575,0.594243044127654,0.616388513170021
128,0,0.1845,0.723887000382192,0.687158714980274
85,0.047,0.964,-0.0148740192777422,0.483218287148302
110,0.453,0.98175,-0.00728718747646086,0.442242853773031
336,0,0.0175,1.15125617510704,0.847468237859517
53,0.003,0.48375,0.354212584003187,0.616323464847109
111,0.868,0.725,-0.188755711155687,0.411303796904865
170,0.146,0.401,0.437608304587361,0.602339197037988
91,0.123,0.4225,0.531805411021761,0.511665683033623
227,0.057,0.8825,0.0899399336159463,0.489626652803187
140,0.099,0.4295,0.399608031569231,0.613610427377999
51,0.244,0.8755,0.0618473428411242,0.51848232592146
89,0.294,0.30225,0.53574537332805,0.612909522909349
117,0.143,0.5185,-0.398235455977079,0.409692517883323
109,0.015,0.0975,-1.1465860349343,0.236810548156229
131,0.546,0.93625,-0.0482025581488685,0.437471703780056
205,0.752,0.57925,0.329097398852854,0.578438396641489
231,0.209,0.55225,0.306233739963938,0.587605398014188
129,0.199,0.93475,-0.0588235414424442,0.40933554593137
52,0.104,0.7175,-0.181593662987319,0.415344271824277
265,0.042,0.39525,-0.925484908936438,0.421797017193928
107,0.001,0.037,1.12835809191332,0.770613285639354
127,0.422,0.322,0.495320029447085,0.602983801311094
290,0.188,0.96625,-0.0408685514721095,0.488892662218804
264,0.016,0.985,-0.0611882101713143,0.421418929350462
365,0.868,0.2505,0.67508590930522,0.588732751432945
173,0.416,0.9055,-0.131993405786488,0.501095104700626
120,0.521,0.33975,0.509629049074808,0.631127662655394
100,0.926,0.2065,0.608634881124209,0.632055770336167
163,0.115,0.195,0.625942338176692,0.663114681906388
160,0.715,0.97425,0.0169847559400855,0.422797832729995
346,0.145,0.31575,-0.666267506355589,0.299929058102563
183,0.011,0.1425,-1.12831618168867,0.291483924073894
209,0.471,0.7425,0.207467131925554,0.484381620955802
289,0.437,0.73925,0.179274095814138,0.529519736591026
375,0.032,0.236,0.552329604052147,0.680713831130709
206,0.024,0.4935,-0.618533137675869,0.385374397462332
172,0.653,0.10425,0.86987943463882,0.710456684008272
79,0.025,0.6465,-0.42242381317726,0.38112968044075
161,0.061,0.76425,0.156286339307666,0.456583677903641
251,0.393,0.453,0.395973789006054,0.546901503286734
63,0.502,0.853,0.088377174665499,0.526595680307253
159,0.134,0.5455,0.316998478689922,0.525010945318536
118,0,0.1345,0.716381062015126,0.756190375746285
78,0.359,0.34,0.596156514916599,0.613209568148193
192,0.466,0.52825,0.404371031524359,0.469310526652349
300,0.725,0.214,0.664444419174014,0.671331104375288
99,0.275,0.38175,0.488471230545372,0.615433348340426
191,0.039,0.27475,-1.37005164562397,0.36204944384649
141,0.014,0.13375,-1.21737428051654,0.231006961109834
262,0.823,0.42825,0.47368225756087,0.540544832763744
366,0.067,0.43325,0.436913411200495,0.599007383864773
202,0.247,0.954,0.0169823626552844,0.460475802274682
263,0.568,0.09925,0.964140993898548,0.655843607423549
97,0.315,0.337,0.534900608002424,0.597277908200013
50,0,0.15475,0.618657668261549,0.793416727280855
402,0.718,0.12875,0.869350046275612,0.662104262185323
186,0.073,0.6905,-0.447311434863445,0.359959559882473
101,0.445,0.7705,0.15056751033356,0.44597983355462
203,0.782,0.37975,0.553044608266829,0.551954316423209
81,0.17,0.961,0.0205042935909379,0.419710528214144
77,0,0.11025,0.799809392555073,0.709956069381946
142,0.687,0.951,-0.0542852237698708,0.462975654930967
197,0.352,0.354,0.518493634859915,0.615175584829028
80,0.171,0.27575,0.557998909658875,0.606820927311651
230,0.214,0.39025,0.56558698973088,0.566753004082567
194,0.15,0.375,-0.57701588846741,0.283622047718287
171,0.015,0.40025,-1.16605147339966,0.38216297126783
208,0.235,0.80025,0.119310553391451,0.510273939395484
188,0.03,0.61775,-0.881225025590797,0.433425009500025
200,0.755,0.9355,-0.0542905067330699,0.497951535423319
224,0.028,0.435,-0.535765870104338,0.360724499204031
65,0.003,0.74925,0.169447796746002,0.516117500529875
236,0.789,0.974,0.00300927541362656,0.433401752927808
280,0.259,0.95725,-0.0479314336127094,0.434258991300107
237,0.056,0.2905,-0.704063757949306,0.316093786292505
62,0.198,0.066,0.876259574671629,0.738143278088665
199,0.193,0.439,0.403811196708342,0.518407771461306
376,0.456,0.588,0.327331768929813,0.533913189604608
248,0.125,0.91,-0.0101932724865845,0.492368655379377
401,0.7,0.39975,0.458762401404462,0.566755526118729
195,0.205,0.86625,0.0736231883115729,0.504210731423183
196,0.208,0.2225,0.669360467817286,0.693760432118492
193,0.579,0.92675,-0.0600497050808899,0.486311484537814
153,0.064,0.196,-0.895859701096777,0.318984796918987
198,0.955,0.29775,0.523145694322766,0.609291285664545
64,0.266,0.3925,0.475094907708238,0.544015758535536
201,0.541,0.27425,0.608175752389099,0.634058875285381
271,0.029,0.3165,-0.850812484878523,0.321374976531691
60,0.9,0.6585,-0.247228254066989,0.383169093429561
155,0.035,0.273,0.579674267320494,0.623710032285344
182,0.062,0.82875,0.100183534756029,0.453671798744303
225,0.82,0.49375,-0.42686243173589,0.393299911608368
221,0.724,0.83775,-0.128441631267429,0.425508695671225
215,0.922,0.78675,0.156037155482916,0.527225319435971
148,0.269,0.32975,0.535693240893617,0.587058045555612
189,0.104,0.61125,-0.416716198073559,0.360254135303552
187,0.023,0.213,0.556840138868456,0.717675757865858
299,0.967,0.01225,1.23644673418416,0.805128685707845
249,0.056,0.88025,0.0231386347621767,0.448945171045483
308,0.144,0.455,-0.627955609999875,0.392168032406568
261,0.816,0.39725,0.467789579647705,0.532891487442425
152,0.021,0.30375,-1.04497356753244,0.358700566398934
240,0.255,0.5215,-0.418145131827091,0.361864440859394
145,0.206,0.91725,-0.10202158932197,0.339048942036159
345,0.271,0.073,0.84555631907896,0.732890332316863
226,0.351,0.17425,0.849707708246248,0.641382677095914
180,0,0.00775,1.03356995411648,0.915229928007651
61,0.027,0.17075,0.74379545582899,0.747352207492025
157,0.026,0.88025,-0.187590273169122,0.418891254936402
158,0.403,0.6455,0.266418032304502,0.562001734823542
143,0.216,0.74525,0.179850650017532,0.447764673017987
184,0.887,0.124,0.710980625767899,0.692481811808222
232,0.237,0.68525,0.224006387784695,0.487034350215498
216,0.023,0.39,0.484240774940909,0.565870361504303
235,0.081,0.8535,0.0956848943777309,0.455503734127302
176,0.008,0.61775,0.263311444204015,0.558308752364486
239,0.317,0.9515,0.0211323094112635,0.426659440066522
247,0.893,0.945,0.0292469910718275,0.472565336986679
149,0.091,0.61225,-0.375438044408007,0.392484667208672
242,0.63,0.92125,0.0519144167855379,0.478684377752812
238,0.125,0.1435,0.962807917261875,0.695770621000952
150,0.51,0.4695,-0.433241557939534,0.281350906696967
154,0.022,0.10225,0.813429098122531,0.731609437264713
156,0.272,0.9335,0.0537957388813439,0.504894511662485
241,0.077,0.9825,-0.0675115405779488,0.381697754387361
151,0.003,0.1535,0.844639657047799,0.67019294745868
190,0,0.066,0.856000778408607,0.813879713448252
307,0.064,0.767,0.14729085167704,0.58001993718567
243,0.071,0.82075,0.100645972696841,0.460694071199639
277,0.006,0.08875,-1.63143697763054,0.307506899279292
178,0.026,0.90975,0.0259028032758897,0.499626517676638
279,0.752,0.03025,1.13577166826518,0.728774341971686
372,0.156,0.10075,-1.07773241250677,0.250784245014912
220,0.382,0.81675,0.119003235793762,0.549655620814002
246,0.779,0.36675,0.478376105867932,0.528132235427835
222,0.675,0.154,0.703518038389719,0.731950840127211
272,0.236,0.95025,0.0335940551513285,0.533935063543903
147,0.494,0.3815,0.420601933314376,0.649467192901342
218,0.059,0.9405,0.0476936085887147,0.44023837148507
181,0.616,0.0205,1.30152338804326,0.69424253533009
244,0.27,0.65525,-0.257286730587154,0.311551742116816
223,0.771,0.8445,-0.121248061349528,0.466582238572006
416,0.799,0.405,0.522940319652877,0.555931736772398
417,0.562,0.28625,0.597977731957821,0.583290235993015
175,0.466,0.29575,0.577477011085958,0.596929799383152
245,0.118,0.0225,1.3035427118652,0.691496683895925
217,0.778,0.7825,0.153479747852288,0.438514665521055
177,0.801,0.831,0.107009862407308,0.528976847661729
207,0.056,0.97525,0.0270126678109162,0.487362335527467
414,0.005,0.00925,-1.89688539661605,0.205948829462177
8,0.001,0.05375,0.892118058158208,0.804161422531932
144,0.001,0.04075,0.821195364770853,0.845126419923358
373,0.235,0.2425,-0.789282498084415,0.388222220939057
278,0.171,0.77075,-0.257113849522124,0.411945802754119
174,0.041,0.0895,0.757780444447953,0.835106164149394
9,0.012,0.069,0.907295438254133,0.738812496589737
146,0.197,0.00125,1.4309675464918,0.81387954282684
405,0.016,0.18325,-1.16763185974013,0.342214870222546
343,0.044,0.20225,-1.04721776629764,0.33627555671312
233,0.289,0.06425,0.898110301630452,0.674073844526444
374,0.029,0.25975,-1.40861380045798,0.36601057890226
342,0.436,0.63675,-0.263705161719318,0.390964520699731
5,0.013,0.1755,-1.27530092279596,0.302445440396357
437,0.003,0.033,-2.2336807739955,0.21011618156849
298,0.156,0.47875,0.371643990677569,0.543940934758781
403,0.489,0.288,0.649345287572339,0.562558023757863
344,0.977,0.705,0.214249518658085,0.502783089215619
234,0.056,0.5215,0.360255345102181,0.524700601156896
219,0.727,0.93175,-0.0672611378819106,0.493204080948346
296,0.133,0.82725,-0.158116948267652,0.370584653332761
179,0.156,0.09625,0.813234829241252,0.684236279474305
286,0.049,0.66375,-0.425731945581702,0.39960954242084
364,0.466,0.4345,0.40633889360462,0.594203728124698
297,0.827,0.31175,0.555123808195601,0.652010555205207
363,0.498,0.48375,0.419737290571465,0.553071284511021
185,0.478,0.51625,-0.361923457280092,0.427174466367953
404,0.083,0.2065,0.590668613445998,0.661611485165094
288,0.298,0.5765,0.332840713838328,0.563874715182729
367,0.698,0.8655,0.090064323198134,0.466286800538311
362,0.943,0.552,0.303599658620107,0.476210988850216
368,0.968,0.86875,0.0753640284608944,0.513039752988446
358,0.394,0.5845,-0.393712076584251,0.425870565643015
371,0.354,0.51125,-0.473172816910613,0.35726284214894
338,0.197,0.55925,0.364833463057171,0.539481257517717
419,0.006,0.0745,-2.63374804500015,0.282174582382189
357,0.927,0.36225,0.454209396230836,0.673081905985777
451,0.006,0.12225,-1.75971896127693,0.279859023506938
413,0.266,0.5355,-0.419201034041329,0.359796681240758
287,0.502,0.2755,0.56522122585512,0.633583661577174
291,0.071,0.58425,-0.386945480988871,0.341081097633345
276,0.129,0.0335,1.17558338872904,0.730816237999782
274,0.586,0.24375,0.71720028164468,0.573605936084426
275,0.226,0.51075,0.406146005539017,0.522603691770017
354,0.02,0.146,-2.81159600223041,0.425727771482587
415,0.874,0.224,0.637846338541523,0.615164583541319
283,0.01,0.47725,-0.920999722003717,0.376852003438534
493,0.02,0.19525,-1.13314606756389,0.304186391192284
369,0.722,0.98875,0.00403039464213437,0.456836591500256
337,0.317,0.25925,0.662521166435493,0.559885711980433
281,0.099,0.71425,0.195870845777771,0.524142498894622
284,0.358,0.40875,-0.580461885970724,0.392244784780503
370,0.005,0.341,0.550899530725531,0.611122252969469
438,0.495,0.184,0.783926935672943,0.664492137386217
273,0.071,0.6825,0.216464092416257,0.454884179191793
7,0.833,0.625,0.287556628429999,0.558394164666333
406,0.011,0.1075,-1.22547220561282,0.239205880821306
285,0.634,0.47575,0.437734707629916,0.597622670213525
324,0.158,0.35,-0.71855311841839,0.356644525540668
396,0.039,0.149,-1.49298505771674,0.279507527657771
490,0.042,0.0875,-1.44342440207381,0.299685077662999
352,0.247,0.7475,-0.211953436027381,0.386736692229211
436,0.01,0.01625,1.07019101239406,0.830239743086609
353,0.325,0.7895,0.138712005590466,0.538453890505991
292,0.001,0.04775,0.900679849915149,0.801551243734218
449,0.01,0.1255,-1.28347560529362,0.267582954432679
424,0.013,0.1085,-1.66650949572797,0.301655654820327
439,0.335,0.0585,0.887391470228654,0.772218278710596
311,0.241,0.776,-0.189977012361063,0.446975560764244
325,0.049,0.47675,-0.57497148966063,0.355383740549088
418,0.621,0.9635,-0.0263600999982602,0.45951243369132
351,0.031,0.2275,-1.99638674032298,0.425930735873142
420,0.261,0.54025,-0.459373911953414,0.434002813036291
282,0.062,0.046,0.867436632427933,0.72288915430877
441,0.515,0.491,0.419542766107118,0.614953958814515
294,0.62,0.33925,0.513412750211943,0.592070362236704
310,0.45,0.61875,0.259592691346343,0.572347995328922
295,0.563,0.51775,-0.386095883625147,0.38039474297429
395,0.03,0.273,-0.787919566733947,0.291298129155971
350,0.343,0.91175,-0.0540761384319816,0.439283317157037
293,0.118,0.90325,-0.145481022841163,0.472423904173956
361,0.036,0.84075,0.111534435433467,0.510834790562085
349,0.316,0.9995,-0.0180106027683554,0.395521068592869
359,0.26,0.42725,0.385031660608111,0.570594292671703
360,0.76,0.547,0.296354662988856,0.573564248868228
408,0.034,0.75175,-0.533024230487727,0.44659223272629
355,0.215,0.2195,0.69018365939194,0.714114610860999
450,0.003,0.15775,0.6713112969252,0.657753964974159
443,0.238,0.43075,-0.611360406826961,0.423279308760243
309,0.71,0.28675,0.645322086788057,0.516148717718363
442,0.34,0.9935,-0.0136878212474937,0.46956227941845
6,0.055,0.1025,0.809788738422723,0.69722042939347
379,0.065,0.52925,-0.588805124864204,0.428258926507006
492,0.173,0.58975,-0.476441858716356,0.448863362552374
440,0.488,0.32125,0.592896147578237,0.609670543842317
326,0.594,0.2525,0.745076329028157,0.592150911178962
348,0.044,0.57275,-0.470412146563825,0.39862633614311
497,0.03,0.2815,-0.92153284524103,0.348396360546081
488,0.816,0.57025,0.291706555521695,0.500742527121097
425,0.704,0.7545,-0.188358957273741,0.419415857470762
347,0.864,0.69675,0.218550417164509,0.513354238238799
498,0.816,0.2645,-0.618587071650554,0.261373233737717
407,0.357,0.13675,0.811128556077096,0.622323800413865
34,0.514,0.5455,-0.30752935095542,0.317635513508074
489,0.388,0.3795,0.563172075287896,0.54555531500233
29,0.278,0.8785,0.0495658641207493,0.465532777148179
327,0.106,0.675,0.222769612209953,0.532997371175827
378,0.291,0.46675,-0.572139887085301,0.336813440354143
411,0.2,0.928,-0.0830606917526964,0.524289399947298
328,0.494,0.86475,0.0844725556244293,0.47588190152997
36,0.13,0.80675,0.116156460272997,0.408677721215188
39,0.685,0.216,0.608696520539779,0.63461568915918
397,0.401,0.954,0.0344144498554359,0.441918048159851
35,0.999,0.56775,0.314915212419152,0.523821922458829
356,0.46,0.473,0.50848829250491,0.571024598660468
333,0.439,0.50475,-0.36241076949383,0.417362720786734
446,0.103,0.6465,-0.307750543912666,0.401819913106992
37,0.045,0.91725,0.0231184454959109,0.420606535987088
491,0.357,0.14625,0.863624505840171,0.608338154006228
445,0.319,0.9225,0.042687521004069,0.462968221063291
38,0.368,0.3435,0.475978801960279,0.59056010735218
339,0.927,0.63525,0.263696207996181,0.556245798472248
444,0.199,0.46925,0.445271253128713,0.521780301889669
386,0.343,0.19775,-0.729452408318199,0.264234842472092
30,0.143,0.34125,0.512887709925125,0.611831042198903
447,0.036,0.29275,0.547969243282056,0.633325684744392
383,0.011,0.16575,-1.65539990432303,0.320022968014927
382,0.103,0.73475,-0.308267900025216,0.410822944246062
335,0.541,0.7235,0.18517593493236,0.540068023402991
334,0.038,0.532,-0.565583341395698,0.44919123160536
332,0.215,0.76,0.160961457434324,0.45540554115034
426,0.467,0.09575,1.01585139560413,0.651677243354771
341,0.049,0.27275,0.572768602069436,0.647671859940846
329,0.039,0.84225,0.09070403872684,0.449384942760297
428,0.799,0.96325,-0.0545842343621747,0.530649725264261
422,0.979,0.389,-0.507654421330014,0.313151924040837
462,0.017,0.324,-0.82835070846686,0.342899308504464
423,0.088,0.791,-0.190733345741921,0.38644104664611
483,0.032,0.077,-1.20323282646438,0.204304194328709
28,0.138,0.37575,0.46684382860533,0.508921375267182
421,0,0.085,0.704113670740481,0.80674744421567
427,0.962,0.336,0.567167633255427,0.600268508876806
331,0.398,0.1285,0.73955538875876,0.685453002395188
33,0.011,0.698,-0.546569051900642,0.393397361227433
409,0.646,0.1895,0.644719448447087,0.608500759925095
14,0.011,0.32625,-0.737771567984023,0.278482618981117
494,0.072,0.58775,-0.515262413396824,0.412807871225234
31,0.646,0.7605,0.172395397692494,0.519171541213113
496,0.898,0.588,0.351778014813729,0.538968350569237
32,0.366,0.82825,0.0951582162086181,0.477561194594194
330,0.368,0.73125,0.204282426392618,0.542122231105093
452,0.752,0.57225,0.340186122949154,0.519839316822917
487,0.616,0.48225,0.361932131352854,0.580741331616624
453,0.348,0.83475,-0.128191846721745,0.41538728623112
387,0.466,0.8995,0.0496619570670898,0.456967861724956
429,0.693,0.21975,0.635717554213695,0.634342822694731
410,0.516,0.15975,0.904096737599882,0.666317461673843
399,0.003,0.578,0.292860832866686,0.583497334700457
454,0.837,0.1555,0.786403517161918,0.621582301923773
486,0.635,0.24125,0.63593293152242,0.609026117650186
388,0.451,0.57875,0.320172391778472,0.525682561026753
461,0.892,0.30175,0.55291039129658,0.610961400296628
391,0.012,0.143,-1.30174637702316,0.324396882322906
475,0.086,0.25875,-0.950465942411136,0.347589617391782
484,0.452,0.6885,-0.223813559305921,0.424455513899184
13,0.488,0.75025,0.189326515053316,0.50663896343501
463,0.004,0.03825,1.02067783649351,0.811111359635502
340,0.002,0.1135,0.75457725360873,0.718656789051632
473,0.651,0.9575,0.0194296783869401,0.454266192848185
482,0.01,0.19025,0.659409670394562,0.667736875048144
22,0.029,0.94975,-0.0790522691744926,0.436905024835271
466,0.176,0.71275,-0.224629679837772,0.378341651715458
433,0.185,0.87775,0.0784220375314859,0.483729920146421
435,0.438,0.73525,-0.23469703759809,0.452944142408987
465,0.6,0.69625,0.236902685025864,0.531195664878328
464,0.092,0.55425,0.317260469643332,0.483862970480945
380,0.35,0.54975,0.333496142293575,0.521783217025832
377,0.483,0.338,0.495690436987023,0.574209041321795
23,0.414,0.94,0.0435505405494509,0.505479749526297
381,0.03,0.0485,0.906855642855286,0.770992997243118
320,0.189,0.66825,-0.31503823664513,0.414345872460119
384,0.125,0.90875,-0.0488858975300424,0.516131708441192
434,0.223,0.769,0.153860199766138,0.53749356827518
315,0.009,0.19725,-1.96922932282973,0.325557277668974
481,0.776,0.64425,0.244330385316349,0.450508196697733
432,0.411,0.51375,0.315452406467842,0.553480479441573
478,0.167,0.61275,-0.345133184252524,0.361632785708938
495,0.375,0.5055,0.357582005717038,0.556989018088528
477,0.68,0.32375,0.500492582419842,0.632231751699514
25,0.761,0.43575,0.3863306956273,0.591231975273912
321,0.162,0.21825,0.687410794296494,0.740869524950795
322,0.212,0.61075,0.332961600792489,0.537068253565266
318,0.943,0.052,1.13850762567349,0.685356433211054
12,0.139,0.96275,-0.0775694164566936,0.480709680534544
394,0.128,0.9315,-0.0442899705255927,0.447998849782963
390,0.289,0.7375,0.173883997819584,0.555897723251816
480,0.909,0.1935,0.674521504960713,0.616076857099864
431,0.431,0.281,0.555092842239971,0.623841170313695
485,0.101,0.941,-0.0133025738556496,0.473882995885216
474,0.1,0.9125,-0.131950828685681,0.518381042028723
16,0.155,0.20575,0.681579327172805,0.67590656534809
470,0.606,0.266,0.695660881087589,0.592814876371863
393,0,0.0715,0.862453741269036,0.747091366481866
479,0.029,0.7305,-0.270584405273766,0.444925415682315
319,0.006,0.38525,0.468111222230753,0.592708383163928
472,0.415,0.53775,0.359914737575391,0.533770492737256
385,0.593,0.22175,0.669775109811235,0.565745762530786
17,0.084,0.6855,0.204785845490687,0.495040111193774
459,0.404,0.675,0.218623014911634,0.531945553630697
458,0.482,0.999,0.0128358572139068,0.469383095037641
323,0.024,0.354,0.488585413092095,0.640368419376108
10,0,0.923,0.0491870450932537,0.473732760830338
398,0.464,0.07875,1.00377048622357,0.650571340523851
316,0.087,0.333,0.522693971484007,0.591296051196477
476,0.386,0.133,0.887309560409668,0.530224511708892
27,0,0.29375,0.466291510496077,0.70214349902018
430,0.013,0.691,-0.465115668183373,0.385136070116456
389,0.073,0.9035,-0.172154996198794,0.508814231867394
303,0.316,0.758,0.165371854329242,0.532674205925742
19,0.145,0.9575,-0.0724332954952225,0.468298569015459
455,0.542,0.185,0.71548390982185,0.594625399160869
471,0.321,0.62725,0.241772334772239,0.554250981692335
392,0.016,0.391,0.482039862650129,0.595039735314404
24,0.317,0.12675,0.837956277922667,0.649079949055844
26,0.117,0.65,0.243898085259667,0.520470175299191
20,0.307,0.23,0.623367366652347,0.64477466735106
306,0.653,0.3345,-0.542234542032808,0.319429615135623
15,0.583,0.19725,0.753236176855857,0.647057306388694
21,0.352,0.4725,0.503550129578903,0.455296733067769
400,0.223,0.3595,0.5108109254325,0.5644646897792
18,0.336,0.585,0.285206803713337,0.604122324138864
317,0.004,0.0035,1.29488453257475,0.880311455309709
460,0.413,0.10375,0.838935574431195,0.730051053797955
456,0.001,0.10375,0.82396444541334,0.690221626790827
467,0.904,0.403,0.452296958856829,0.565678284835125
312,0.32,0.5835,0.308127546448781,0.517286491994766
457,0.017,0.383,0.443315983257969,0.671636418569016
304,0.279,0.276,0.633160207088547,0.664125958999312
11,0.529,0.16725,0.764184241594359,0.632125184685086
468,0.37,0.05175,1.03657185153204,0.673820526939627
302,0.515,0.71425,0.217253563395808,0.635827743215011
314,0.578,0.159,0.697919409977344,0.72573992941191
305,0.934,0.0655,0.936974271598344,0.696383067685662
469,0.598,0.1135,0.800708798985067,0.65841005790762
301,0.833,0.95575,0.0194423234346817,0.522092003333475
313,0.313,0.1765,0.773332766235381,0.594207308839245
